PassengerId,Sex,Pclass,Fare
2,1,1,71.2833
6,0,3,8.4583
9,1,3,11.1333
15,1,3,7.8542
28,0,1,263.0
31,0,1,27.7208
32,1,1,146.5208
35,0,1,82.1708
38,0,3,8.05
41,1,3,9.475
56,0,1,35.5
61,0,3,7.2292
63,0,1,83.475
76,0,3,7.65
78,0,3,8.05
80,1,3,12.475
86,1,3,15.85
98,0,1,63.3583
102,0,3,7.8958
104,0,3,8.6542
114,1,3,9.825
142,1,3,7.75
143,1,3,15.85
145,0,2,11.5
146,0,2,36.75
151,0,2,12.525
159,0,3,8.6625
176,0,3,7.8542
182,0,2,15.05
194,0,2,26.0
197,0,3,7.75
201,0,3,9.5
203,0,3,6.4958
215,0,3,7.75
216,1,1,113.275
223,0,3,8.05
231,1,1,83.475
232,0,3,7.775
237,0,2,26.0
248,1,2,14.5
250,0,2,26.0
252,1,3,10.4625
253,0,1,26.55
256,1,3,15.2458
263,0,1,79.65
265,1,3,7.75
267,0,3,39.6875
268,0,3,7.775
271,0,1,31.0
279,0,3,29.125
280,1,3,20.25
286,0,3,8.6625
294,1,3,8.85
295,0,3,7.8958
299,0,1,30.5
300,1,1,247.5208
302,0,3,23.25
311,1,1,83.1583
312,1,1,262.375
313,1,2,26.0
317,1,2,26.0
318,0,2,14.0
319,1,1,164.8667
320,1,1,134.5
343,0,2,13.0
347,1,2,13.0
351,0,3,9.225
353,0,3,7.2292
357,1,1,55.0
363,1,3,14.4542
368,1,3,7.2292
373,0,3,8.05
381,1,1,227.525
385,0,3,7.8958
390,1,2,12.0
391,0,1,120.0
396,0,3,7.7958
398,0,2,26.0
400,1,2,12.65
413,1,1,90.0
414,0,2,0.0
419,0,2,13.0
426,0,3,7.25
433,1,2,26.0
441,1,2,26.25
459,1,2,10.5
475,1,3,9.8375
478,0,3,7.0458
484,1,3,9.5875
485,0,1,91.0792
488,0,1,29.7
490,0,3,15.9
495,0,3,8.05
496,0,3,14.4583
497,1,1,78.2667
501,0,3,8.6625
502,1,3,7.75
504,1,3,9.5875
506,0,1,108.9
512,0,3,8.05
514,1,1,59.4
517,1,2,10.5
520,0,3,7.8958
523,0,3,7.225
524,1,1,57.9792
531,1,2,26.0
532,0,3,7.2292
536,1,2,26.25
539,0,3,14.5
543,1,3,31.275
546,0,1,26.0
562,0,3,7.8958
565,1,3,8.05
567,0,3,7.8958
568,1,3,21.075
571,0,2,10.5
588,0,1,79.2
597,1,2,33.0
610,1,1,153.4625
613,1,3,15.5
615,0,3,8.05
620,0,2,10.5
628,1,1,77.9583
632,0,3,7.0542
633,0,1,30.5
635,1,3,27.9
636,1,2,13.0
639,1,3,39.6875
643,1,3,27.9
644,0,3,56.4958
645,1,3,19.2583
649,0,3,7.55
655,1,3,6.75
656,0,2,73.5
657,0,3,7.8958
659,0,2,13.0
667,0,2,13.0
677,0,3,8.05
682,0,1,76.7292
684,0,3,46.9
687,0,3,39.6875
694,0,3,7.225
695,0,1,26.55
701,1,1,227.525
705,0,3,7.8542
709,1,1,151.55
713,0,1,52.0
716,0,3,7.65
726,0,3,8.6625
727,1,2,21.0
729,0,2,26.0
741,0,1,30.0
751,1,2,23.0
761,0,3,14.5
763,0,3,7.2292
765,0,3,7.775
767,0,1,39.6
769,0,3,24.15
772,0,3,7.8542
779,0,3,7.7375
781,1,3,7.2292
785,0,3,7.05
797,1,1,25.9292
804,0,3,8.5167
809,0,2,13.0
816,0,1,0.0
819,0,3,6.45
820,0,3,27.9
823,0,1,0.0
834,0,3,7.8542
838,0,3,8.05
839,0,3,56.4958
840,0,1,29.7
849,0,2,33.0
878,0,3,7.8958
881,1,2,26.0
884,0,2,10.5
888,1,1,30.0
891,0,3,7.75
